Date,Open,High,Low,Close,Adj Close,Volume
29/9/15,1102,1133.400024,1097.5,1121.849976,1070.76001,4349685
30/9/15,1134.400024,1168.949951,1125.949951,1161.949951,1109.033813,4747846
1/10/15,1169.900024,1197.75,1160,1173.050049,1119.628418,5432197
5/10/15,1173.050049,1189.349976,1162,1181.75,1127.932251,3440880
6/10/15,1187.050049,1192.550049,1148.099976,1154.599976,1102.018555,4355940
7/10/15,1156,1168.75,1128.449951,1133.199951,1081.59314,4591244
8/10/15,1136.400024,1149.599976,1126.050049,1132.150024,1080.590942,4540437
9/10/15,1136,1172.900024,1136,1167.400024,1114.235718,5891069
12/10/15,1199,1219.800049,1109,1122.900024,1071.762207,15202485
13/10/15,1107.449951,1111,1085.199951,1099.400024,1049.33252,7663431
14/10/15,1091.449951,1115.550049,1087.199951,1097.599976,1047.61438,4432755
15/10/15,1099.900024,1104.349976,1089.099976,1097.349976,1047.375732,4127833
16/10/15,1099,1101.400024,1090,1094.900024,1054.648315,3209496
19/10/15,1102,1116,1100.5,1111.949951,1071.071411,3673747
20/10/15,1113,1130,1110.599976,1125.949951,1084.556763,4394155
21/10/15,1125,1146.849976,1125,1138.400024,1096.549072,3639049
23/10/15,1138.400024,1153,1125.099976,1149.900024,1107.626343,3016681
26/10/15,1154,1158.5,1143.150024,1152.150024,1109.793701,1597971
27/10/15,1150,1155,1144.099976,1149.400024,1107.144653,2631874
28/10/15,1144.5,1158,1139,1153.199951,1110.804932,2627736
29/10/15,1153.099976,1155.900024,1136.050049,1145.050049,1102.95459,2943662
2/11/15,1130,1135.800049,1114.099976,1131.199951,1089.61377,1772494
3/11/15,1133.400024,1150.449951,1133.400024,1145.5,1103.388062,1807341
4/11/15,1150.099976,1157.599976,1132.300049,1136.800049,1095.007935,1602786
5/11/15,1142.949951,1145,1119.400024,1122.900024,1081.618896,1172653
6/11/15,1123,1143.900024,1122.900024,1138.300049,1096.452881,1513086
9/11/15,1120,1140,1115.199951,1134.599976,1092.888672,3062838
10/11/15,1127.5,1127.5,1100.099976,1103.849976,1063.269287,2340026
13/11/15,1103.849976,1106,1090,1100.800049,1060.331299,1760434
16/11/15,1083.650024,1094,1067.199951,1080.199951,1040.488647,3404167
